asset,mu,omega,alpha,gamma,beta,loglikelihood,persistence
AAPL,0.0010376139795810623,8.705791365334178e-06,0.04369856145600891,0.051085057208921675,0.9041127704891823,3305.4645911802977,0.973353860549652
AMZN,0.0008054200469835979,3.348449548719116e-05,0.030072036909418155,0.13065881433083362,0.842277535410278,3042.194662573036,0.937678979485113
GLD,0.0002884131684693099,9.468767279769143e-06,0.05002325155763353,0.009975287005740133,0.8449793195349723,4043.2979555614193,0.8999902145954759
GOOGL,0.0008554521558869452,7.624428219078953e-06,5.547134989304218e-10,0.04552004548666773,0.9575007187109894,3189.1402751673604,0.9802607420090368
IWM,-6.988222036213463e-05,6.199555768432093e-06,0.009997855343873286,0.09997827652410944,0.9198020469522746,3481.8929455275866,0.9797890405582026
JPM,0.000536442160890301,7.584968720009085e-06,0.010000529745650064,0.09999940878346471,0.9199995046700583,3319.9641017610597,0.9799997388074407
MSFT,0.0007318213748075817,5.4966268745825595e-06,0.00999999842830626,0.04999999101737666,0.9449998514749414,3413.4479208956336,0.979999845411936
NFLX,0.001361144083638159,0.0004277964495622789,1.0,-0.8990453279329603,0.1066421180742039,2767.1900196559404,0.6571194541077237
NVDA,0.002605332653514561,0.00015134971813142765,0.013739228003804897,0.15538231807523917,0.762388415134829,2572.700080871889,0.8538188021762535
QQQ,0.0005244673687617746,4.161562778175119e-06,0.009999995081388387,0.09999990601010758,0.9199995474877315,3646.822729639055,0.9799994955741737
SPY,0.000483126843862297,2.879267708948828e-06,0.010000000065228326,0.19999997076123172,0.8699999735166548,3998.9364460987467,0.979999958962499
TLT,-0.0004616678376268375,1.0869105114611475e-05,0.10000031679096011,0.00999964660048955,0.7949997164194863,4007.57690556336,0.8999998565106911
TSLA,0.001998390902623959,4.893759343105827e-05,0.05768728344679083,-0.010745252255745082,0.9159274936208022,2296.9573884268407,0.9682421509397204
V,2.7114200859716854e-05,5.4826934013641235e-06,0.01000003226034103,0.09999995369700905,0.9199995842348194,3530.2631700762413,0.9799995933436649
