factor,har_intercept,har_daily,har_weekly,har_monthly,garch_omega,garch_alpha,garch_beta,loglikelihood,persistence
G_PC_AAPL_1,-0.025081945311043796,0.7233177517657103,0.2603621358012919,0.004585888503853802,0.030260932278276816,0.019781677779810207,0.9719351719127475,-2713.6553880915662,0.9917168496925577
G_PC_AAPL_2,0.09224533831057502,0.4430587893181119,0.49409963905576987,-0.07822113881185866,0.00910844516321977,9.60715085336211e-15,0.997046461092337,-2757.352748137321,0.9970464610923466
G_PC_AAPL_3,-0.02648774224266548,0.6226285519987542,0.33148562761800743,0.011423759742980932,0.0056958299773832745,0.02284916444373287,0.9725311588839388,-2046.3586188341665,0.9953803233276717
G_PC_AMZN_1,0.21900723967883273,0.7371635031565036,0.23348424691326589,0.0024287359283809984,0.41109795473001326,0.06198915645166419,0.8777347888752167,-2902.4343316082436,0.9397239453268809
G_PC_AMZN_2,-0.010357890043854345,0.5285062646903259,0.4344290020818537,-0.10812757984068608,0.06417644316122109,0.00762021436604202,0.9825988298086505,-2946.7905509455654,0.9902190441746925
G_PC_AMZN_3,0.11858048136283439,0.6719170247151943,0.308907393000585,-0.0506638853709348,0.23518684814629737,0.09335275259722715,0.8048088412658854,-2229.0396319359465,0.8981615938631126
G_PC_GLD_1,-0.4601164439203842,0.7734337936189561,0.23755736483440745,-0.03161312147051992,0.1013339104136408,0.09817657219964682,0.8369644481425063,-1976.7969235129103,0.9351410203421531
G_PC_GLD_2,-0.3667157358077824,0.44270944662685313,0.45422407952771854,-0.019606378835825555,0.01180036020248472,0.026816581455836652,0.9635425414511216,-1958.9073773380808,0.9903591229069583
G_PC_GLD_3,0.44880386183784804,0.55566958006339,0.3866340646949879,-0.002647089400625746,0.06395787799185608,0.08844476386389875,0.8489126757377569,-1703.391281747147,0.9373574396016556
G_PC_GOOGL_1,-0.028336920171718516,0.7394716305628488,0.18960593906039558,0.023774556898400717,0.20808026135775282,0.049900327400328,0.9081322230165134,-2738.9900956854367,0.9580325504168414
G_PC_GOOGL_2,-0.08666482027440381,0.5327702638771514,0.3821216202887417,-0.03125434454400203,0.7625149272296252,0.0503385171818782,0.8206007601421018,-2837.3650215863845,0.87093927732398
G_PC_GOOGL_3,-0.016785307238074892,0.5986761970795502,0.32818505721128666,-0.07058888295907911,0.919723637772281,0.20060164709408723,0.3886272107812322,-2189.441572240884,0.5892288578753194
G_PC_IWM_1,-0.24766000549782774,0.6945779303504231,0.28338217022625034,0.002489431211790155,0.15544733167601651,0.14278348606473432,0.8219564779872143,-2458.8294465587433,0.9647399640519486
G_PC_IWM_2,-0.005900080269908181,0.41281305762798987,0.5287844317430879,0.028665962984452176,0.1217653812547721,0.13840129816900995,0.8501547087915142,-2595.1239064020674,0.9885560069605241
G_PC_IWM_3,-0.07725377485169771,0.6963060666652167,0.210944299114764,0.07181538246764406,0.03905913356331501,0.10363728360286857,0.8708390336196234,-1839.2933401011292,0.9744763172224921
G_PC_JPM_1,-0.11845089056029856,0.7023681674426737,0.2559959498359857,0.020059066340016724,0.11680617187932003,0.08073263312856457,0.9043241782897691,-2930.8229525692404,0.9850568114183337
G_PC_JPM_2,0.26598009184588856,0.44316806140253345,0.4986730627407884,-0.06716104621473587,0.05980834518099022,0.042839899011365375,0.9500872167268611,-3040.9234064946822,0.9929271157382266
G_PC_JPM_3,-0.002335107229519018,0.42241792903708664,0.497437795035379,0.04839220507535957,0.018928492118683977,0.05895340214439277,0.9355431150430137,-2206.7259754969664,0.9944965171874065
G_PC_MSFT_1,-0.07827568816394681,0.734720817587296,0.2330066669854661,0.007977020665020401,0.14004949749500067,0.0661409582957202,0.9003279460310308,-2610.7060365743378,0.966468904326751
G_PC_MSFT_2,0.18964218136289168,0.45896423868100844,0.4968379004838193,-0.10461398977796954,0.045940146427000624,0.005800229385789417,0.9830016023844457,-2690.247628904321,0.9888018317702351
G_PC_MSFT_3,-0.021809315917137667,0.6117203631966402,0.3293838041616893,-0.02190845967902269,0.010295720541859626,0.0017610564692652078,0.9891755657080072,-1954.6075394788186,0.9909366221772724
G_PC_NFLX_1,0.3183619147099126,0.8332245617867488,0.14147731236241595,0.013628073578298774,0.7896321808761237,0.09119209782399805,0.8472394524516532,-3195.451793860667,0.9384315502756513
G_PC_NFLX_2,-0.5248721028557073,0.6357480740469293,0.2718758579665064,-0.0437731116750409,0.155829192612608,0.005129517634620354,0.9799636592804828,-3307.001149164282,0.9850931769151031
G_PC_NFLX_3,-0.07955630068048358,0.5892800983777964,0.3411495600893409,-0.037719163348260254,1.2125834880903215,0.2599339235087666,0.49192738845283585,-2567.9916505387073,0.7518613119616024
