Edge,Family,Rotation,Omega,A,B,Nu,NLL,AIC,BIC
T0_E0,Bicopfamily.student,0,0.7650447487831116,0.036396630108356476,0.9770238995552063,7.008561134338379,-344.0184592356524,-680.0369184713048,-659.6269210482062
T0_E1,Bicopfamily.student,0,0.540545642375946,0.03093196637928486,0.9895528554916382,3.7293128967285156,-246.76476499321734,-485.5295299864347,-465.11953256333607
T0_E2,Bicopfamily.student,0,0.6845683455467224,0.045327283442020416,0.8664730191230774,10.835602760314941,-264.72500803855087,-521.4500160771017,-501.0400186540031
T0_E3,Bicopfamily.student,0,1.030006766319275,0.04521813243627548,0.915885865688324,5.833857536315918,-559.3454965497772,-1110.6909930995544,-1090.2809956764559
T0_E4,Bicopfamily.student,0,0.7048176527023315,0.03280070796608925,0.9610900282859802,25.758729934692383,-282.35347507284166,-556.7069501456833,-536.2969527225847
T0_E5,Bicopfamily.student,0,-0.3214755356311798,0.03051220066845417,0.9726197719573975,9.050337791442871,-71.02198789458635,-134.0439757891727,-113.6339783660741
T0_E6,Bicopfamily.student,0,1.1749107837677002,0.05864150449633598,0.9287890195846558,4.0311150550842285,-723.5710962695166,-1439.1421925390332,-1418.7321951159347
T0_E7,Bicopfamily.student,0,0.6001678109169006,0.02239895425736904,0.96833336353302,5.855599403381348,-236.8891694079386,-465.7783388158772,-445.3683413927786
T0_E8,Bicopfamily.gumbel,270,-1.3618303537368774,0.057953186333179474,0.9793503880500793,,-64.99148528793714,-123.98297057587428,-108.67547250855033
T0_E9,Bicopfamily.gumbel,0,-0.0810973048210144,0.3191925585269928,0.9232338666915894,,-301.1923514867245,-596.384702973449,-581.077204906125
T0_E10,Bicopfamily.student,0,-0.2779042720794678,0.045059461146593094,0.9356421232223511,6.248392105102539,-69.79375106824637,-131.58750213649273,-111.17750471339414
T0_E11,Bicopfamily.student,0,0.37538373470306396,0.045487359166145325,0.7915903329849243,8.231289863586426,-92.8859280661467,-177.7718561322934,-157.36185870919482
T0_E12,Bicopfamily.gumbel,90,-0.6276834011077881,0.04288661479949951,0.9955559372901917,,-138.99356575416581,-271.98713150833163,-256.6796334410077
T0_E13,Bicopfamily.gumbel,90,-0.6606107354164124,0.1177506297826767,0.9440556764602661,,-147.4337077773218,-288.8674155546436,-273.5599174873197
T0_E14,Bicopfamily.frank,0,-2.7105438709259033,0.18605588376522064,0.9676712155342102,,-116.91423898878352,-227.82847797756705,-212.5209799102431
T0_E15,Bicopfamily.student,0,0.9662672877311707,0.06502829492092133,0.9576645493507385,4.493268966674805,-526.1422426343051,-1044.2844852686103,-1023.8744878455117
T0_E16,Bicopfamily.student,0,1.0235382318496704,0.038310617208480835,0.9900306463241577,4.400732040405273,-620.8187718881607,-1233.6375437763213,-1213.2275463532228
T0_E17,Bicopfamily.student,0,0.6017816662788391,0.034611497074365616,0.9932399988174438,4.889554023742676,-312.588843993664,-617.177687987328,-596.7676905642294
T0_E18,Bicopfamily.student,0,0.6884404420852661,0.02786601148545742,0.9918326139450073,7.27089786529541,-336.0155469839523,-664.0310939679046,-643.6210965448059
T0_E19,Bicopfamily.student,0,-0.6866956353187561,0.08705099672079086,0.7049631476402283,5.2776336669921875,-284.3314292356445,-560.662858471289,-540.2528610481904
T0_E20,Bicopfamily.student,0,0.683580219745636,0.04184786230325699,0.9935249090194702,5.311999320983887,-368.75133287123197,-729.5026657424639,-709.0926683193653
T0_E21,Bicopfamily.student,0,0.6556832194328308,0.05144733563065529,0.96268630027771,5.454362869262695,-281.9084354764713,-555.8168709529426,-535.406873529844
T0_E22,Bicopfamily.student,0,0.4225393235683441,0.04923016577959061,0.9905789494514465,4.663881301879883,-221.77253872563574,-435.5450774512715,-415.13508002817287
T0_E23,Bicopfamily.student,0,-0.8818479776382446,0.0374554768204689,0.9397799968719482,4.319319725036621,-455.64094181445756,-903.2818836289151,-882.8718862058165
T0_E24,Bicopfamily.student,0,1.0270404815673828,0.05196988955140114,0.9762876629829407,5.605657577514648,-580.9343885232959,-1153.8687770465917,-1133.4587796234932
T0_E25,Bicopfamily.student,0,1.0553473234176636,0.0641680359840393,0.9224395155906677,6.500794410705566,-589.4369089861259,-1170.8738179722518,-1150.4638205491533
T0_E26,Bicopfamily.frank,0,-2.563676595687866,0.16915814578533173,0.992469847202301,,-146.1605589959352,-286.3211179918704,-271.01361992454645
T0_E27,Bicopfamily.student,0,0.4852199852466583,0.025186728686094284,0.9939637780189514,2.326655864715576,-266.52597461752,-525.05194923504,-504.64195181194134
T0_E28,Bicopfamily.student,0,0.4110390245914459,0.023052232339978218,0.9924915432929993,3.976935386657715,-134.7404051509768,-261.4808103019536,-241.07081287885504
T0_E29,Bicopfamily.gumbel,0,0.6541034579277039,0.1890115737915039,0.9251426458358765,,-498.47861286853544,-990.9572257370709,-975.6497276697469
T0_E30,Bicopfamily.student,0,0.7087690830230713,0.0190700963139534,0.9830372929573059,6.436244964599609,-304.24246545204915,-600.4849309040983,-580.0749334809997
T0_E31,Bicopfamily.student,0,1.5312519073486328,0.04782598093152046,0.9768772125244141,5.745923042297363,-1091.962670233582,-2175.925340467164,-2155.5153430440655
T0_E32,Bicopfamily.student,0,1.090194821357727,0.04834223911166191,0.9759858250617981,6.746005058288574,-643.1568637601027,-1278.3137275202055,-1257.903730097107
T0_E33,Bicopfamily.student,0,-0.8207241296768188,0.05907955393195152,0.9431331157684326,9.375801086425781,-393.1977585854262,-778.3955171708524,-757.9855197477538
T0_E34,Bicopfamily.student,0,0.653187096118927,0.03397912532091141,0.9816802740097046,7.751490592956543,-256.25636999358034,-504.51273998716067,-484.10274256406205
T0_E35,Bicopfamily.student,0,-0.7855786085128784,0.07874436676502228,0.9650242328643799,4.420148849487305,-389.8802950582326,-771.7605901164652,-751.3505926933666
T0_E36,Bicopfamily.student,0,0.8209472298622131,0.031184591352939606,0.8744381666183472,11.222047805786133,-370.28944371751095,-732.5788874350219,-712.1688900119233
T0_E37,Bicopfamily.clayton,180,0.44162052869796753,0.46065014600753784,0.7542616724967957,,-229.12403357795844,-452.2480671559169,-436.94056908859295
T0_E38,Bicopfamily.gumbel,90,0.42860206961631775,0.1135057806968689,0.9793479442596436,,-430.87895111031173,-855.7579022206235,-840.4504041532995
T0_E39,Bicopfamily.student,0,-0.8078887462615967,0.032056696712970734,0.9879354238510132,7.040749549865723,-392.2781178322575,-776.556235664515,-756.1462382414164
T0_E40,Bicopfamily.student,0,-0.7167558670043945,0.017530051991343498,0.9914917349815369,5.9720306396484375,-296.3843362894132,-584.7686725788265,-564.3586751557278
T0_E41,Bicopfamily.gumbel,0,0.8227323889732361,0.22939586639404297,0.9046600461006165,,-554.5668652641525,-1103.133730528305,-1087.8262324609811
T0_E42,Bicopfamily.gumbel,0,-0.31195172667503357,0.4802527129650116,0.6845879554748535,,-226.5426162234687,-447.0852324469374,-431.7777343796135
T0_E43,Bicopfamily.gumbel,0,1.5769845247268677,0.1440155953168869,0.9827877283096313,,-826.8696775693843,-1647.7393551387686,-1632.4318570714447
T0_E44,Bicopfamily.student,0,0.48792263865470886,0.056773435324430466,0.9564731121063232,3.5214664936065674,-181.60927262438594,-355.2185452487719,-334.80854782567326
T0_E45,Bicopfamily.student,0,-0.5918750166893005,0.04012997820973396,0.9618003368377686,5.582931995391846,-219.53252340269546,-431.0650468053909,-410.6550493822923
T0_E46,Bicopfamily.frank,0,3.5429959297180176,0.38561898469924927,0.9624699354171753,,-181.9244567362553,-357.8489134725106,-342.5414154051867
T0_E47,Bicopfamily.gumbel,180,-0.5139457583427429,0.14009930193424225,0.9734530448913574,,-188.6900738286205,-371.380147657241,-356.0726495899171
T0_E48,Bicopfamily.student,0,0.5737408995628357,0.030011791735887527,0.9939991235733032,3.492560386657715,-256.92534985232135,-505.8506997046427,-485.4407022815441
T0_E49,Bicopfamily.gumbel,0,-0.4459969997406006,0.20455805957317352,0.8335945010185242,,-195.5026173075204,-385.0052346150408,-369.6977365477169
T0_E50,Bicopfamily.gumbel,0,0.1812875121831894,0.2573055028915405,0.8116694092750549,,-357.2013195078974,-708.4026390157948,-693.0951409484708
T0_E51,Bicopfamily.clayton,180,0.7240755558013916,0.24193568527698517,0.9424580335617065,,-297.63747571228254,-589.2749514245651,-573.9674533572411
T0_E52,Bicopfamily.clayton,270,-0.3268314599990845,0.03505229577422142,0.9918327331542969,,-97.35904735533174,-188.71809471066348,-173.41059664333955
T0_E53,Bicopfamily.gumbel,0,-0.0461479052901268,0.06730472296476364,0.9833322763442993,,-305.70691437057667,-605.4138287411533,-590.1063306738293
T0_E54,Bicopfamily.student,0,0.8655513525009155,0.10155103355646133,0.4551219642162323,6.665010452270508,-414.7513366111928,-821.5026732223856,-801.092675799287
T0_E55,Bicopfamily.gumbel,270,-0.2523459196090698,0.024964459240436554,0.9936256408691406,,-247.380116760924,-488.760233521848,-473.4527354545241
T0_E56,Bicopfamily.student,0,0.4974741041660309,0.04442385211586952,0.9389176964759827,5.696596622467041,-148.5714351925156,-289.1428703850312,-268.73287296193257
T0_E57,Bicopfamily.frank,0,3.532125234603882,0.1299828439950943,0.9873714447021484,,-190.1539185927765,-374.307837185553,-359.0003391182291
T0_E58,Bicopfamily.gumbel,180,-0.3172401189804077,0.06765862554311752,0.9893386363983154,,-253.69260423552578,-501.38520847105156,-486.0777104037276
T0_E59,Bicopfamily.gumbel,90,-0.8413797616958618,0.11914391815662384,0.9761756062507629,,-124.58106363149332,-243.16212726298664,-227.8546291956627
T0_E60,Bicopfamily.student,0,0.5706795454025269,0.027442777529358864,0.9856985211372375,4.125555992126465,-246.19101738645253,-484.38203477290506,-463.97203734980644
T1_E0,Bicopfamily.gaussian,0,-0.1413087099790573,0.020779471844434738,0.9217697381973267,,-13.58711142374772,-21.17422284749544,-5.8667247801714915
T1_E1,Bicopfamily.student,0,0.011282970197498798,0.006189420819282532,0.9457412958145142,8.813414573669434,2.4029571658150304,12.80591433163006,33.21591175472866
T1_E2,Bicopfamily.gaussian,0,-0.17663082480430603,0.005266101099550724,0.9755473732948303,,-18.966239382847768,-31.932478765695535,-16.624980698371587
T1_E3,Bicopfamily.student,0,-0.14611850678920746,0.005839928053319454,0.9645741581916809,13.885303497314453,-12.998321062868893,-17.996642125737786,2.413355297360809
T1_E4,Bicopfamily.gaussian,0,-0.1779174655675888,0.01622879132628441,0.964638888835907,,-20.501376569520037,-35.002753139040074,-19.695255071716126
T1_E5,Indep,0,0.0,0.0,0.0,,0.0,0.0,0.0
