Edge,Family,Rotation,NLL,AIC,BIC
T0_E0,Bicopfamily.student,0,-263.4973144636177,935.0053710727645,4664.932400144033
T0_E1,Bicopfamily.student,0,-559.1284086824605,343.74318263507894,4073.6702117063473
T0_E2,Bicopfamily.student,0,-329.1320548210648,803.7358903578704,4533.662919429139
T0_E3,Bicopfamily.student,0,-275.07971890966866,911.8405621806627,4641.767591251931
T0_E4,Bicopfamily.student,0,-184.0280575410588,1093.9438849178823,4823.870913989151
T0_E5,Bicopfamily.student,0,-728.9948005592687,4.010398881462606,3733.937427952731
T0_E6,Bicopfamily.student,0,-502.91292233146066,456.1741553370787,4186.101184408347
T0_E7,Bicopfamily.student,0,-402.0284959998054,657.9430080003892,4387.870037071658
T0_E8,Bicopfamily.student,0,-118.32686773404275,1225.3462645319146,4955.2732936031825
T0_E9,Bicopfamily.student,0,-212.92415396043256,1036.1516920791348,4766.078721150403
T0_E10,Bicopfamily.student,0,-247.61808529413955,966.763829411721,4696.690858482989
T0_E11,Bicopfamily.student,0,-559.1178335084533,343.7643329830935,4073.691362054362
T0_E12,Bicopfamily.student,0,-255.41832519160067,951.1633496167987,4681.090378688067
T0_E13,Bicopfamily.student,0,-589.6266073902392,282.7467852195216,4012.67381429079
T0_E14,Bicopfamily.gumbel,180,-331.9776592406206,796.0446815187588,4520.869211234252
T0_E15,Bicopfamily.frank,0,-164.8998620523087,-125.79972410461738,394.6552101843968
T0_E16,Bicopfamily.student,0,-126.8928019171726,1208.2143961656548,4938.141425236923
T0_E17,Bicopfamily.student,0,-96.48857009003557,1269.022859819929,4998.949888891198
T0_E18,Bicopfamily.student,0,-184.74764120398794,1092.504717592024,4822.431746663293
T0_E19,Bicopfamily.gumbel,0,-195.39238071405208,1069.215238571896,4794.039768287389
T0_E20,Bicopfamily.student,0,-305.8841118619327,850.2317762761346,4580.158805347403
T0_E21,Bicopfamily.student,0,-1075.0193401530921,-688.0386803061842,3041.888348765084
T0_E22,Bicopfamily.student,0,-71.88162871440048,1318.236742571199,5048.1637716424675
T0_E23,Bicopfamily.gumbel,270,-200.58946846735526,1058.8210630652895,4783.645592780783
T0_E24,Bicopfamily.student,0,-62.64716707349475,1336.7056658530105,5066.632694924279
T0_E25,Bicopfamily.student,0,-173.83891724243753,1114.3221655151249,4844.249194586393
T0_E26,Bicopfamily.frank,0,-156.26349386662707,-108.52698773325415,411.92794655576006
T0_E27,Bicopfamily.student,0,-216.3632437451771,1029.2735125096458,4759.200541580914
T0_E28,Bicopfamily.student,0,-129.6557164964574,1202.688567007085,4932.6155960783535
T0_E29,Bicopfamily.student,0,-159.6532182286937,1142.6935635426125,4872.620592613881
T0_E30,Bicopfamily.student,0,-261.9076173465236,938.1847653069528,4668.111794378221
T0_E31,Bicopfamily.student,0,-159.14753790338173,1143.7049241932366,4873.631953264505
T0_E32,Bicopfamily.gumbel,0,-426.8627620600457,606.2744758799086,4331.099005595403
T0_E33,Bicopfamily.gumbel,270,-73.26261033057395,1313.4747793388522,5038.299309054346
T0_E34,Bicopfamily.student,0,-144.7212972514638,1172.5574054970725,4902.4844345683405
T0_E35,Bicopfamily.gumbel,0,-269.68354526378937,920.6329094724213,4645.457439187915
T0_E36,Bicopfamily.gumbel,0,-493.1417285907171,473.7165428185658,4198.541072534059
T0_E37,Bicopfamily.gumbel,90,-267.4385777417509,925.1228445164982,4649.9473742319915
T0_E38,Bicopfamily.student,0,-661.2997003229473,139.40059935410545,3869.327628425374
T0_E39,Bicopfamily.student,0,-418.1914414842522,625.6171170314956,4355.544146102764
