Edge,Family,Rotation,NLL,AIC,BIC
T0_E0,Bicopfamily.student,0,-364.5592524285453,-575.1185048570906,-182.22605446244256
T0_E1,Bicopfamily.student,0,-246.61770626564004,-339.2354125312801,53.65703786336792
T0_E2,Bicopfamily.student,0,-261.20376967304173,-368.40753934608347,24.484911048564527
T0_E3,Bicopfamily.student,0,-554.805853136467,-955.611706272934,-562.719255878286
T0_E4,Bicopfamily.student,0,-271.352488573784,-388.704977147568,4.187473247079993
T0_E5,Bicopfamily.student,0,-77.91052388516177,-1.8210477703235313,391.0714026243245
T0_E6,Bicopfamily.student,0,-706.5364596578613,-1259.0729193157226,-866.1804689210746
T0_E7,Bicopfamily.student,0,-240.07224073960106,-326.1444814792021,66.74796891544588
T0_E8,Bicopfamily.gumbel,270,-63.18874466210368,-90.37748932420736,1.4674990797363137
T0_E9,Bicopfamily.gumbel,0,-319.08822979603207,-602.1764595920641,-510.3314711881205
T0_E10,Bicopfamily.student,0,-73.41512497722371,7.169750045552576,400.06220044020057
T0_E11,Bicopfamily.student,0,-92.57689590615283,-31.153791812305656,361.73865858234234
T0_E12,Bicopfamily.gumbel,90,-182.5650033103895,-329.130006620779,-237.28501821683534
T0_E13,Bicopfamily.gumbel,90,-161.35994084525538,-286.71988169051076,-194.8748932865671
T0_E14,Bicopfamily.frank,0,-137.50587479390055,320.9882504121989,1841.533058433044
T0_E15,Bicopfamily.student,0,-497.0192441183535,-840.038488236707,-447.14603784205906
T0_E16,Bicopfamily.student,0,-620.9449219808752,-1087.8898439617503,-694.9973935671023
T0_E17,Bicopfamily.student,0,-280.1481719540166,-406.29634390803324,-13.403893513385242
T0_E18,Bicopfamily.student,0,-304.42920127912316,-454.8584025582463,-61.96595216359833
T0_E19,Bicopfamily.student,0,-295.3172154137853,-436.63443082757055,-43.74198043292256
T0_E20,Bicopfamily.student,0,-300.02402791651684,-446.0480558330337,-53.15560543838569
T0_E21,Bicopfamily.student,0,-279.7711514130143,-405.5423028260286,-12.649852431380623
T0_E22,Bicopfamily.student,0,-174.74180802716893,-195.48361605433786,197.40883434031014
T0_E23,Bicopfamily.student,0,-454.21405441525667,-754.4281088305133,-361.53565843586534
T0_E24,Bicopfamily.student,0,-546.8713582318956,-939.7427164637911,-546.8502660691431
T0_E25,Bicopfamily.student,0,-578.9830541924584,-1003.9661083849169,-611.0736579902689
T0_E26,Bicopfamily.frank,0,-193.4122695276301,209.17546094473983,1729.720268965585
T0_E27,Bicopfamily.student,0,-257.5532818819734,-361.10656376394684,31.785886630701157
T0_E28,Bicopfamily.student,0,-121.15744037862638,-88.31488075725275,304.57756963739524
T0_E29,Bicopfamily.gumbel,0,-520.480472605073,-1004.9609452101461,-913.1159568062023
T0_E30,Bicopfamily.student,0,-303.101193077002,-452.202386154004,-59.309935759355994
T0_E31,Bicopfamily.student,0,-1104.2607737121314,-2054.5215474242627,-1661.6290970296147
T0_E32,Bicopfamily.student,0,-676.6911277571427,-1199.3822555142854,-806.4898051196374
T0_E33,Bicopfamily.student,0,-393.2399937842895,-632.479987568579,-239.58753717393097
T0_E34,Bicopfamily.student,0,-237.11521665320225,-320.2304333064045,72.66201708824349
T0_E35,Bicopfamily.student,0,-393.5887889921526,-633.1775779843052,-240.28512758965724
T0_E36,Bicopfamily.student,0,-369.0656723715267,-584.1313447430534,-191.23889434840544
T0_E37,Bicopfamily.clayton,180,-254.8719895496643,86.25602090067139,1606.8008289215168
T0_E38,Bicopfamily.gumbel,90,-481.1827141137424,-926.3654282274848,-834.5204398235411
T0_E39,Bicopfamily.student,0,-366.61463494079953,-579.2292698815991,-186.33681948695107
T0_E40,Bicopfamily.student,0,-289.03521525026997,-424.07043050053994,-31.177980105891947
T0_E41,Bicopfamily.gumbel,0,-574.7305199605781,-1113.4610399211563,-1021.6160515172126
T0_E42,Bicopfamily.gumbel,0,-237.61123638217077,-439.22247276434155,-347.3774843603979
T0_E43,Bicopfamily.gumbel,0,-830.3505936798406,-1624.7011873596812,-1532.8561989557375
T0_E44,Bicopfamily.student,0,-163.32625984902552,-172.65251969805104,220.23993069659696
T0_E45,Bicopfamily.student,0,-230.1317005448858,-306.2634010897716,86.62904930487639
T0_E46,Bicopfamily.frank,0,-270.27264257446484,55.45471485107032,1575.9995228719156
T0_E47,Bicopfamily.gumbel,180,-178.03077917034977,-320.06155834069955,-228.2165699367559
T0_E48,Bicopfamily.student,0,-240.68926694629437,-327.37853389258873,65.51391650205926
T0_E49,Bicopfamily.gumbel,0,-196.8436454091288,-357.6872908182576,-265.84230241431396
T0_E50,Bicopfamily.gumbel,0,-352.5878488340948,-669.1756976681896,-577.3307092642459
T0_E51,Bicopfamily.clayton,180,-326.1643472002828,-56.32869440056561,1464.2161136202797
T0_E52,Bicopfamily.clayton,270,-183.86882900607003,228.26234198785994,1748.8071500087053
T0_E53,Bicopfamily.gumbel,0,-305.93638782193216,-575.8727756438643,-484.02778723992066
T0_E54,Bicopfamily.student,0,-405.6748273744644,-657.3496547489289,-264.45720435428086
T0_E55,Bicopfamily.gumbel,270,-269.49445106623466,-502.9889021324693,-411.14391372852566
T0_E56,Bicopfamily.student,0,-143.21304582116485,-132.4260916423297,260.4663587523183
T0_E57,Bicopfamily.frank,0,-256.3784577196601,83.24308456067979,1603.787892581525
T0_E58,Bicopfamily.gumbel,180,-267.3827261404128,-498.76545228082557,-406.9204638768819
T0_E59,Bicopfamily.gumbel,90,-171.03264646463745,-306.0652929292749,-214.22030452533124
T0_E60,Bicopfamily.student,0,-264.27321569537185,-374.5464313907437,18.346019003904303
T1_E0,Bicopfamily.gaussian,0,-11.975706169497,128.048587661006,515.8385386998792
T1_E1,Bicopfamily.student,0,4.706891671382586,163.41378334276516,556.3062337374132
T1_E2,Bicopfamily.gaussian,0,-18.99673240591634,114.00653518816732,501.7964862270406
T1_E3,Bicopfamily.student,0,-11.980278382462306,130.0394432350754,522.9318936297234
T1_E4,Bicopfamily.gaussian,0,-20.160400636992847,111.6791987260143,499.46914976488756
T1_E5,Indep,0,0.0,0.0,0.0
T1_E6,Bicopfamily.student,0,-3.1914909180608673,147.61701816387827,540.5094685585262
T1_E7,Bicopfamily.student,0,-0.5094790134860041,152.981041973028,545.873492367676
T1_E8,Bicopfamily.gaussian,0,-6.276960011023762,139.44607997795248,527.2360310168257
T1_E9,Bicopfamily.student,0,-35.14357075737802,83.71285848524396,476.60530887989194
T1_E10,Bicopfamily.gaussian,0,-1.1463572623464426,149.70728547530712,537.4972365141804
T1_E11,Indep,0,0.0,0.0,0.0
T1_E12,Bicopfamily.student,0,0.9639944664687885,155.92798893293758,548.8204393275855
T1_E13,Bicopfamily.student,0,6.835408198089806,167.67081639617962,560.5632667908276
