factor,har_intercept,har_daily,har_weekly,har_monthly,garch_omega,garch_alpha,garch_beta,loglikelihood,loglikelihood_oos,mse_train,mse_test,persistence
G_PC_1,0.010507444803361854,1.000390063669923,-0.01201163161404014,0.002995444453682699,0.008173168670187638,0.16861819708160145,0.7810392747361972,-6143.227235264119,-65.01081311132246,0.18872881969196625,0.16412309309142883,0.9496574718177986
G_PC_2,-0.00564942286135163,0.38336530917396716,0.5765513659672554,-0.03929805168246331,0.0004046871343816294,0.0,0.9946361896569352,-5916.651674771083,-32.56384705799008,0.0879765406642988,0.07613121079798191,0.9946361896569352
G_PC_3,8.196222357627868e-05,0.7980643462864176,0.21799248566027618,-0.028899283308802315,0.00012289128317958712,0.005852777619804124,0.9769331909998128,-4478.591213208041,241.4084507656144,0.009862265215402455,0.008280954752742565,0.9827859686196169
L_PC_AAPL_1,-0.00790329997718675,0.823897325260022,0.15312840989220847,-0.002010858492379336,0.0016613411391415416,0.007061495631015497,0.9783062362280187,-6196.454161826834,-107.77244562874301,0.15929906003157027,0.13810805989030234,0.9853677318590343
L_PC_AAPL_2,-0.003163940353975197,0.7302980356232786,0.17778643438144828,0.011974987434105314,0.05893031529237088,0.15338142117211198,1.288148515212166e-16,-5769.528969364503,-13.694276905073114,0.06929711162758469,0.06944571673272135,0.15338142117211212
L_PC_AAPL_3,0.0004984223188230948,0.5671420613650753,0.4270028038436865,-0.050118000278106783,0.003593117703283149,0.04069630782266953,0.7988573150564444,-5082.01834088495,158.93538066181776,0.02254558926279576,0.016103739824506788,0.839553622879114
L_PC_AMZN_1,0.0060718612589501925,0.6098780737631556,0.36729869833068285,-0.020065464561462715,0.001224526603642123,0.0,0.9957933050881987,-6778.942068127621,-194.77847675557175,0.36000971644740837,0.28149228708336393,0.9957933050881987
L_PC_AMZN_2,0.004455181028217174,0.7912992454666438,0.17752441322520157,-0.053660049737340246,0.028876894887323073,0.24596107501132763,0.36436081919882096,-5740.838587499407,-34.864437342064896,0.06947414843844564,0.07907313912629879,0.6103218942101486
L_PC_AMZN_3,0.004824385218497554,0.8177657634956366,0.12893220326960947,0.003453579430380438,0.00017096282519441433,0.006820520456094805,0.9863290243605903,-5172.365426587222,71.15251465815952,0.02621600682345127,0.03254485195251665,0.9931495448166852
L_PC_GLD_1,-0.018600756266630658,0.9220105609795314,0.040375147763186944,-0.008502895934499585,0.023653702344891545,0.14987938259069106,0.7536837696437976,-6488.311478802529,-177.45080329737613,0.26234049983009866,0.2786299876381335,0.9035631522344887
L_PC_GLD_2,0.0048510898339717,0.6283467276438062,0.3486807398094427,-0.02340855643082171,0.0035584493933131286,0.04963551249405249,0.8911203870405633,-5691.047777797845,33.89359915625193,0.06307531201409648,0.043913330171382714,0.9407558995346158
L_PC_GLD_3,-0.0014002869184732078,0.6581167542940447,0.2962700935163269,0.021016317256285277,0.008138125266304481,0.06108898882505593,0.6687444266575717,-5260.031327368635,79.7054536455805,0.030425344573569386,0.031193928299937147,0.7298334154826277
