asset,mu,omega,alpha,beta,theta,nu,persistence,loglik_oos,mse_oos
AAPL,0.0011479767426947772,2.7274751760693448e-06,0.03163113774448306,0.9184323126891347,0.7699441262204952,5.240428309765792,0.968814830380198,669.97167735879,6.663616725736511e-07
AMZN,0.0008661995618059455,9.793334421243432e-07,0.0060723623517065185,0.9460850879070636,2.5266378604501707,4.616354439615027,0.99092279746179,639.6027688819609,7.472044854662293e-07
GLD,0.000785691987865451,2.9255326246933896e-06,0.021619758594393242,0.8854503735198946,-1.0473835404995375,4.472032210780432,0.9307872728026326,761.9216086219295,9.458294817171051e-08
GOOGL,0.000789857175579623,1.8094761683854175e-06,0.010374998220800841,0.8784912423893958,3.0,3.9070359446153025,0.9822412245974042,631.0234201151309,8.309926709955632e-07
IWM,-4.9813817997423756e-05,5.025648353548684e-06,0.04811851210398196,0.8556940706643325,1.1214175377145605,8.495829330325371,0.9643253310062355,739.2327320801276,1.5401448404946739e-07
JPM,0.0008828122256803317,2.8007698767327868e-06,0.018693893792393213,0.8793280106375169,1.950839070000251,4.64276427943242,0.9691666221300349,707.1385023981536,5.723589872184787e-07
MSFT,0.0010842708716684588,1.635452768837628e-06,0.016353653976954378,0.9056759693442936,1.8728261732147318,4.938957260443108,0.979389702822099,720.2361282532597,4.49248113345989e-07
NFLX,0.0008130813717486875,1.1475423528681378e-06,0.002962872778211332,0.9609983557126683,3.0,3.8490233317784637,0.9906270834947817,635.3868082141626,1.6449369968015325e-06
NVDA,0.002421749369508349,1.2599329785334436e-05,0.023127342965694627,0.921284530664544,0.9842226839693604,5.334508374012742,0.966815198741904,545.0303771621734,5.9145484397575676e-06
QQQ,0.0011042980369853808,3.830355070241252e-06,0.05101793157228039,0.8242188386960627,1.2535407073337075,6.9092866409551394,0.9554045268530333,772.3350788995385,9.936944884187353e-08
SPY,0.0006767699616860644,2.0185931815078536e-06,0.07174455049099539,0.7335301972273899,1.455960359624099,5.900022016949984,0.9573603215482732,844.3608207041827,6.039805014389556e-08
TLT,-0.0003450913477443561,4.095057049862505e-06,0.059870497638726775,0.8741503781735317,0.02663322058721576,9.848412780125205,0.9340633436588816,856.5459938202305,1.7310318314954742e-08
TSLA,0.0016030168385037851,1.0759549568365208e-05,0.02572295273987738,0.944299214563049,0.314867328983608,4.80414618799465,0.9725723777464265,470.34118345154457,5.0464334287734675e-06
V,0.00047040486797035407,1.5948150775768427e-06,0.022165010419919258,0.8741296995855196,1.9151790097606294,5.4742960426909475,0.9775939875476866,735.2264957194502,1.4543911348501741e-07
